,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
1906,picophytoplankton,20 years later,JF-FlTn,-0.1805068762051442,0.004,-0.004
1907,pelagic bacteria,20 years later,JF-FlTn,0.1605680270976739,0.002,-0.002
1908,gelatinous zooplantkon,20 years later,JF-FhTs,-0.5368701733984738,0.004,-0.004
1909,microzooplankton,20 years later,JF-FhTs,0.9913108949942906,0.001,-0.001
1910,mesozooplankton,20 years later,JF-FhTs,0.5060096138458814,0.003,-0.003
1911,diatoms,20 years later,JF-FhTs,1.445359843873395,0.09,-0.09
1912,picophytoplankton,20 years later,JF-FhTs,-0.2889834412349357,0.004,-0.004
1913,pelagic bacteria,20 years later,JF-FhTs,0.1744157487572506,0.002,-0.002
1914,gelatinous zooplantkon,20 years later,JF-FhTn,-0.4542999302687311,0.004,-0.004
1915,microzooplankton,20 years later,JF-FhTn,-0.1759770849305897,0.001,-0.001
1916,mesozooplankton,20 years later,JF-FhTn,0.2280194941969737,0.003,-0.003
1917,diatoms,20 years later,JF-FhTn,0.6022538211623463,0.09,-0.09
1918,picophytoplankton,20 years later,JF-FhTn,-0.0412830132736519,0.004,-0.004
1919,pelagic bacteria,20 years later,JF-FhTn,0.0238244024961531,0.002,-0.002
1920,seagulls,spill year,AP-FlTs,-0.0052548183337153,0.0,-0.0
1921,other seabirds,spill year,AP-FlTs,-0.0012205890885519,0.0,-0.0
1922,seagulls,spill year,AP-FlTn,-0.0005328472716237,0.0,-0.0
1923,other seabirds,spill year,AP-FlTn,-0.0008016897495222,0.0,-0.0
1924,seagulls,spill year,AP-FhTs,-0.0015503264921301,0.0,-0.0
1925,other seabirds,spill year,AP-FhTs,-0.0005119875132053,0.0,-0.0
1926,seagulls,spill year,AP-FhTn,-0.0012628512237222,0.0,-0.0
1927,other seabirds,spill year,AP-FhTn,-0.0003393512542837,0.0,-0.0
1928,seagulls,spill year,TP-FlTs,0.0097446982973437,0.0,-0.0
1929,other seabirds,spill year,TP-FlTs,-0.0038292396674999,0.0,-0.0
1930,seagulls,spill year,TP-FlTn,0.0077355743530405,0.0,-0.0
1931,other seabirds,spill year,TP-FlTn,-0.0035932118129278,0.0,-0.0
1932,seagulls,spill year,TP-FhTs,-0.0023084990459931,0.0,-0.0
1933,other seabirds,spill year,TP-FhTs,-0.0015630154853762,0.0,-0.0
1934,seagulls,spill year,TP-FhTn,-0.0043893846345366,0.0,-0.0
1935,other seabirds,spill year,TP-FhTn,-0.0020679460665107,0.0,-0.0
1936,seagulls,spill year,EB-FlTs,-0.0111424165043394,0.0,-0.0
1937,other seabirds,spill year,EB-FlTs,-0.0021224304543909,0.0,-0.0
1938,seagulls,spill year,EB-FlTn,-0.0103294607652604,0.0,-0.0
1939,other seabirds,spill year,EB-FlTn,-0.0020237943601231,0.0,-0.0
1940,seagulls,spill year,EB-FhTs,-0.0018442868909496,0.0,-0.0
1941,other seabirds,spill year,EB-FhTs,-0.0003265532156548,0.0,-0.0
1942,seagulls,spill year,EB-FhTn,-0.0011767363071724,0.0,-0.0
1943,other seabirds,spill year,EB-FhTn,-0.0001033397509486,0.0,-0.0
1944,seagulls,spill year,JF-FlTs,0.0133922264718422,0.0,-0.0
1945,other seabirds,spill year,JF-FlTs,-0.0011820949428731,0.0,-0.0
1946,seagulls,spill year,JF-FlTn,0.0127565918850125,0.0,-0.0
1947,other seabirds,spill year,JF-FlTn,-0.0010979898805274,0.0,-0.0
1948,seagulls,spill year,JF-FhTs,0.0006040185586875,0.0,-0.0
1949,other seabirds,spill year,JF-FhTs,-0.0004563690837344,0.0,-0.0
1950,seagulls,spill year,JF-FhTn,-0.0001428123318047,0.0,-0.0
1951,other seabirds,spill year,JF-FhTn,-0.0007728725546074,0.0,-0.0
1952,seagulls,10 years later,AP-FlTs,-0.037375145923747,0.0,-0.0
1953,other seabirds,10 years later,AP-FlTs,-0.0197351021670932,0.0,-0.0
1954,seagulls,10 years later,AP-FlTn,0.1930901090227821,0.0,-0.0
1955,other seabirds,10 years later,AP-FlTn,-0.0110079068523427,0.0,-0.0
1956,seagulls,10 years later,AP-FhTs,0.12964247384325,0.0,-0.0
1957,other seabirds,10 years later,AP-FhTs,-0.0397359074117098,0.0,-0.0
1958,seagulls,10 years later,AP-FhTn,0.172522171662357,0.0,-0.0
1959,other seabirds,10 years later,AP-FhTn,-0.0196923299557805,0.0,-0.0
1960,seagulls,10 years later,TP-FlTs,1.0230767526390403,0.0,-0.0
1961,other seabirds,10 years later,TP-FlTs,-0.0324847804787309,0.0,-0.0
1962,seagulls,10 years later,TP-FlTn,0.8744294667642883,0.0,-0.0
1963,other seabirds,10 years later,TP-FlTn,-0.0245556554346804,0.0,-0.0
1964,seagulls,10 years later,TP-FhTs,1.3617362540095448,0.0,-0.0
1965,other seabirds,10 years later,TP-FhTs,-0.0225890203977152,0.0,-0.0
1966,seagulls,10 years later,TP-FhTn,1.2095737908153947,0.0,-0.0
1967,other seabirds,10 years later,TP-FhTn,-0.0370718760346089,0.0,-0.0
1968,seagulls,10 years later,EB-FlTs,-0.0076682989446363,0.0,-0.0
1969,other seabirds,10 years later,EB-FlTs,-0.0313247362344404,0.0,-0.0
1970,seagulls,10 years later,EB-FlTn,0.0104999274546824,0.0,-0.0
1971,other seabirds,10 years later,EB-FlTn,-0.0328863653061473,0.0,-0.0
1972,seagulls,10 years later,EB-FhTs,-0.0207849181996733,0.0,-0.0
1973,other seabirds,10 years later,EB-FhTs,-0.0265478150844744,0.0,-0.0
1974,seagulls,10 years later,EB-FhTn,0.0169799209300769,0.0,-0.0
1975,other seabirds,10 years later,EB-FhTn,-0.0122457220085658,0.0,-0.0
1976,seagulls,10 years later,JF-FlTs,0.6248940547246096,0.0,-0.0
1977,other seabirds,10 years later,JF-FlTs,-0.0116617978337019,0.0,-0.0
1978,seagulls,10 years later,JF-FlTn,0.6441144968312651,0.0,-0.0
1979,other seabirds,10 years later,JF-FlTn,-0.0103403610116592,0.0,-0.0
1980,seagulls,10 years later,JF-FhTs,0.6277481847940636,0.0,-0.0
1981,other seabirds,10 years later,JF-FhTs,-0.0088534535286777,0.0,-0.0
1982,seagulls,10 years later,JF-FhTn,0.6213627681764211,0.0,-0.0
1983,other seabirds,10 years later,JF-FhTn,-0.0123213190585669,0.0,-0.0
1984,seagulls,20 years later,AP-FlTs,0.0965498017198729,0.0,-0.0
1985,other seabirds,20 years later,AP-FlTs,-0.0527577639301912,0.0,-0.0
1986,seagulls,20 years later,AP-FlTn,0.6461908626737212,0.0,-0.0
1987,other seabirds,20 years later,AP-FlTn,-0.0139456130103043,0.0,-0.0
1988,seagulls,20 years later,AP-FhTs,-0.4042258148410605,0.0,-0.0
1989,other seabirds,20 years later,AP-FhTs,-0.1074833350141746,0.0,-0.0
1990,seagulls,20 years later,AP-FhTn,0.2060700729879261,0.0,-0.0
1991,other seabirds,20 years later,AP-FhTn,-0.0462047139494925,0.0,-0.0
1992,seagulls,20 years later,TP-FlTs,1.4784994592972645,0.0,-0.0
1993,other seabirds,20 years later,TP-FlTs,-0.0641114340019655,0.0,-0.0
1994,seagulls,20 years later,TP-FlTn,1.6014738490449232,0.0,-0.0
1995,other seabirds,20 years later,TP-FlTn,-0.0707517693720083,0.0,-0.0
1996,seagulls,20 years later,TP-FhTs,2.354956883425023,0.0,-0.0
1997,other seabirds,20 years later,TP-FhTs,-0.0442586633965047,0.0,-0.0
1998,seagulls,20 years later,TP-FhTn,1.6420123642953797,0.0,-0.0
1999,other seabirds,20 years later,TP-FhTn,-0.0502272268668968,0.0,-0.0
2000,seagulls,20 years later,EB-FlTs,0.0626301539405838,0.0,-0.0
2001,other seabirds,20 years later,EB-FlTs,-0.1085797588323167,0.0,-0.0
2002,seagulls,20 years later,EB-FlTn,-0.1242129901013788,0.0,-0.0
2003,other seabirds,20 years later,EB-FlTn,-0.1989356062090785,0.0,-0.0
2004,seagulls,20 years later,EB-FhTs,-0.0198730078473685,0.0,-0.0
2005,other seabirds,20 years later,EB-FhTs,-0.1612648786932613,0.0,-0.0
2006,seagulls,20 years later,EB-FhTn,-0.1589831407006814,0.0,-0.0
2007,other seabirds,20 years later,EB-FhTn,-0.1766457037646551,0.0,-0.0
2008,seagulls,20 years later,JF-FlTs,0.7829433911862216,0.0,-0.0
2009,other seabirds,20 years later,JF-FlTs,-0.0004631745206462,0.0,-0.0
2010,seagulls,20 years later,JF-FlTn,0.9823061956123704,0.0,-0.0
2011,other seabirds,20 years later,JF-FlTn,0.0262331916033542,0.0,-0.0
2012,seagulls,20 years later,JF-FhTs,1.0120502602629355,0.0,-0.0
2013,other seabirds,20 years later,JF-FhTs,0.0324574994376913,0.0,-0.0
2014,seagulls,20 years later,JF-FhTn,1.1474574889089495,0.0,-0.0
2015,other seabirds,20 years later,JF-FhTn,0.014394060780124,0.0,-0.0
2016,macroalgae,spill year,AP-FlTs,0.0004823440615364,0.06,-0.06
2017,seagrass,spill year,AP-FlTs,-0.000456267087745,0.06,-0.06
2018,macroalgae,spill year,AP-FlTn,0.0003861759612089,0.06,-0.06
2019,seagrass,spill year,AP-FlTn,-0.0003572133518425,0.06,-0.06
2020,macroalgae,spill year,AP-FhTs,-0.0041566419002325,0.06,-0.06
2021,seagrass,spill year,AP-FhTs,-8.209019963789643e-05,0.06,-0.06
2022,macroalgae,spill year,AP-FhTn,7.714980092554669e-05,0.06,-0.06
2023,seagrass,spill year,AP-FhTn,-5.092462795897035e-06,0.06,-0.06
2024,macroalgae,spill year,TP-FlTs,0.002316006848968,0.06,-0.06
2025,seagrass,spill year,TP-FlTs,-0.0048780725011687,0.06,-0.06
2026,macroalgae,spill year,TP-FlTn,0.0023596651330226,0.06,-0.06
2027,seagrass,spill year,TP-FlTn,-0.0038520394302965,0.06,-0.06
2028,macroalgae,spill year,TP-FhTs,0.0006276345729583,0.06,-0.06
2029,seagrass,spill year,TP-FhTs,-0.0001336950616215,0.06,-0.06
2030,macroalgae,spill year,TP-FhTn,0.0007551844662501,0.06,-0.06
2031,seagrass,spill year,TP-FhTn,-0.0001264702066183,0.06,-0.06
2032,macroalgae,spill year,EB-FlTs,0.0012372074202904,0.06,-0.06
2033,seagrass,spill year,EB-FlTs,-0.0002689003677169,0.06,-0.06
2034,macroalgae,spill year,EB-FlTn,0.0019975243538139,0.06,-0.06
2035,seagrass,spill year,EB-FlTn,-0.0003210341471659,0.06,-0.06
2036,macroalgae,spill year,EB-FhTs,0.0001278829247608,0.06,-0.06
2037,seagrass,spill year,EB-FhTs,8.313681965077535e-07,0.06,-0.06
2038,macroalgae,spill year,EB-FhTn,9.4759970492575e-05,0.06,-0.06
2039,seagrass,spill year,EB-FhTn,1.7148980679948522e-06,0.06,-0.06
2040,macroalgae,spill year,JF-FlTs,0.0020131712623161,0.06,-0.06
2041,seagrass,spill year,JF-FlTs,-0.0061148745975625,0.06,-0.06
2042,macroalgae,spill year,JF-FlTn,0.0014077183765115,0.06,-0.06
2043,seagrass,spill year,JF-FlTn,-0.004065285201471,0.06,-0.06
2044,macroalgae,spill year,JF-FhTs,0.0005118342871091,0.06,-0.06
2045,seagrass,spill year,JF-FhTs,-0.0001400781672877,0.06,-0.06
2046,macroalgae,spill year,JF-FhTn,0.000658623679417,0.06,-0.06
2047,seagrass,spill year,JF-FhTn,-0.0002143085821137,0.06,-0.06
2048,macroalgae,10 years later,AP-FlTs,0.0269608315229596,0.06,-0.06
2049,seagrass,10 years later,AP-FlTs,-0.0056098887409539,0.06,-0.06
2050,macroalgae,10 years later,AP-FlTn,0.0189423264338239,0.06,-0.06
